----------------------- 5:11:21
321	-55.0	14.0	28.0
322	-56.0	15.0	28.0
323	-56.0	15.0	29.0
324	-55.0	15.0	29.0
325	-55.0	15.0	28.0
326	-55.0	15.0	28.0
327	-56.0	14.0	29.0
328	-56.0	13.0	29.0
329	-55.0	13.0	30.0
330	-55.0	14.0	30.0
331	-57.0	14.0	30.0
332	-53.0	15.0	29.0
333	-59.0	15.0	28.0
334	-57.0	14.0	28.0
335	-55.0	12.0	30.0
336	-54.0	12.0	29.0
337	-53.0	15.0	27.0
338	-56.0	17.0	26.0
339	-59.0	16.0	27.0
340	-56.0	13.0	30.0
341	-55.0	11.0	32.0
342	-58.0	12.0	29.0
343	-55.0	11.0	31.0
344	-59.0	14.0	31.0
345	-58.0	14.0	28.0
346	-51.0	17.0	27.0
347	-49.0	16.0	28.0
348	-53.0	17.0	26.0
349	-53.0	16.0	24.0
350	-55.0	16.0	26.0
351	-53.0	17.0	27.0
352	-53.0	17.0	29.0
----------------------- 5:11:32
353	-54.0	19.0	29.0
354	-54.0	19.0	26.0
355	-56.0	18.0	24.0
356	-64.0	17.0	22.0
357	-70.0	17.0	16.0
358	-64.0	18.0	18.0
359	-52.0	18.0	24.0
360	-53.0	19.0	27.0
361	-54.0	19.0	28.0
362	-60.0	19.0	24.0
363	-60.0	18.0	22.0
364	-58.0	18.0	19.0
365	-58.0	18.0	20.0
366	-57.0	18.0	22.0
367	-58.0	18.0	24.0
368	-59.0	17.0	25.0
369	-58.0	16.0	26.0
370	-56.0	16.0	26.0
371	-56.0	17.0	25.0
372	-56.0	17.0	25.0
373	-56.0	17.0	25.0
374	-57.0	16.0	24.0
375	-58.0	15.0	23.0
376	-59.0	15.0	23.0
377	-58.0	16.0	24.0
378	-57.0	15.0	25.0
379	-58.0	14.0	27.0
380	-57.0	14.0	27.0
381	-56.0	14.0	27.0
382	-57.0	14.0	25.0
383	-58.0	15.0	25.0
384	-58.0	15.0	25.0
----------------------- 5:11:33
385	-57.0	15.0	25.0
386	-57.0	15.0	26.0
387	-58.0	15.0	25.0
388	-59.0	15.0	23.0
389	-57.0	17.0	26.0
390	-58.0	16.0	29.0
391	-62.0	18.0	26.0
392	-60.0	21.0	24.0
393	-57.0	26.0	22.0
394	-55.0	24.0	19.0
395	-53.0	21.0	18.0
396	-60.0	17.0	12.0
397	-59.0	16.0	13.0
398	-57.0	13.0	11.0
399	-63.0	13.0	11.0
400	-63.0	12.0	13.0
401	-61.0	13.0	14.0
402	-57.0	14.0	16.0
403	-61.0	15.0	17.0
404	-59.0	18.0	16.0
405	-60.0	18.0	17.0
406	-59.0	18.0	18.0
407	-58.0	17.0	19.0
408	-59.0	19.0	17.0
409	-59.0	19.0	20.0
410	-60.0	20.0	19.0
411	-59.0	20.0	19.0
412	-59.0	20.0	18.0
413	-60.0	19.0	16.0
414	-60.0	18.0	17.0
415	-60.0	18.0	17.0
416	-59.0	18.0	18.0
----------------------- 5:11:34
417	-59.0	19.0	19.0
418	-58.0	19.0	18.0
419	-59.0	19.0	18.0
420	-60.0	19.0	17.0
421	-59.0	19.0	17.0
422	-60.0	19.0	17.0
423	-59.0	18.0	18.0
424	-59.0	18.0	18.0
425	-59.0	18.0	18.0
426	-59.0	18.0	18.0
427	-59.0	18.0	18.0
428	-60.0	18.0	18.0
429	-59.0	18.0	18.0
430	-59.0	18.0	18.0
431	-59.0	18.0	19.0
432	-59.0	18.0	19.0
433	-59.0	18.0	18.0
434	-60.0	18.0	17.0
435	-58.0	19.0	19.0
436	-59.0	19.0	19.0
437	-61.0	18.0	19.0
438	-57.0	17.0	23.0
439	-57.0	17.0	24.0
440	-63.0	17.0	22.0
441	-63.0	19.0	25.0
