-22,6,55
-7,9,61
-7,2,58
-21,-19,62
-18,-17,51
-18,-14,51
-25,-24,62
-33,-25,56
-31,-16,50
-23,-16,56
-25,-16,58
-32,-15,54
-32,-14,54
-27,-13,56
-28,-12,57
-29,-13,56
-33,-15,54
-34,-14,53
-35,-14,53
-34,-13,53
-33,-14,53
-34,-13,53
-35,-14,52
-37,-15,51
-40,-14,50
-42,-15,50
-37,-13,49
-35,-14,51
-33,-16,53
-34,-16,53
-35,-16,52
-35,-15,51
-35,-15,50
-35,-16,51
-34,-17,51
-35,-18,52
-33,-18,52
-32,-18,52
-33,-17,52
-33,-18,52
-33,-17,52
-34,-17,53
-34,-18,52
-35,-18,50
-34,-20,51
-33,-20,51
-34,-20,51
-34,-20,51
-35,-20,50
-37,-20,51
-27,-20,58
-25,-27,61
-33,-32,71
-64,-50,58
-44,-28,64
-46,-11,59
-47,-12,52
-53,-6,34
-46,9,24
-35,11,22
-34,29,24
-36,28,27
-56,22,15
-43,21,18
-51,32,12
-55,28,14
-48,26,7
-57,32,8
-56,31,8
-60,36,5
-56,38,9
-58,35,10
-55,34,12
-55,32,11
-54,31,14
-47,29,17
-47,28,18
-51,27,20
-54,28,16
-56,29,15
-58,30,14
-57,32,14
-55,33,16
-55,33,15
-53,35,14
-53,35,14
-52,34,15
-52,33,16
-52,32,16
-54,31,14
-56,30,13
-55,30,15
-53,30,16
-54,31,15
-54,32,15
-53,32,15
-53,32,16
-54,33,14
-53,33,13
-49,33,12
-43,34,8
-36,34,8
-54,25,4
-69,20,-3
-66,15,1
-53,12,10
-60,14,9
-75,13,19
-81,20,34
-53,30,52
-44,29,50
-41,20,40
-48,16,31
-53,15,27
-62,15,23
-62,16,23
-59,18,22
-57,18,26
-57,17,28
-55,17,29
-54,17,29
-54,18,28
-56,18,27
-56,18,27
-56,17,27
-56,17,27
-56,17,28
-55,17,28
-55,17,28
-55,17,28
-55,17,27
-56,17,26
-57,17,27
-56,17,27
-56,17,27
-56,17,27
-55,16,27
-55,16,27
-56,16,27
-56,17,28
-56,17,28
-55,16,28
-55,17,27
-55,18,26
-57,18,26
-57,18,26
-56,18,26
-56,18,26
-57,18,26
-57,17,27
-57,17,27
-56,17,27
-56,16,27
-56,15,27
-56,15,27
-56,15,28
-56,15,28
-55,16,28
-55,16,27
-56,16,28
-55,15,28
-55,14,29
-56,14,29
-55,14,29
-55,14,28
-56,15,28
-56,15,29
-55,15,29
-55,15,28
-55,15,28
-56,14,29
-56,13,29
-55,13,30
-55,14,30
-57,14,30
-53,15,29
-59,15,28
-57,14,28
-55,12,30
-54,12,29
-53,15,27
-56,17,26
-59,16,27
-56,13,30
-55,11,32
-58,12,29
-55,11,31
-59,14,31
-58,14,28
-51,17,27
-49,16,28
-53,17,26
-53,16,24
-55,16,26
-53,17,27
-53,17,29
-54,19,29
-54,19,26
-56,18,24
-64,17,22
-70,17,16
-64,18,18
-52,18,24
-53,19,27
-54,19,28
-60,19,24
-60,18,22
-58,18,19
-58,18,20
-57,18,22
-58,18,24
-59,17,25
-58,16,26
-56,16,26
-56,17,25
-56,17,25
-56,17,25
-57,16,24
-58,15,23
-59,15,23
-58,16,24
-57,15,25
